ID,Created At,Updated At,Name,Swift Code,Internal Hsbc Code,Address ID,Created By ID,Updated By ID,Branch Name,Country,Metadata,Validated At,Validated By ID,Deleted On
1,"December 29, 2022, 17:36","December 29, 2022, 17:36",HSBC,HBMBMYKL,22,,,,,MY,{},,,
2,"December 29, 2022, 17:38","December 29, 2022, 17:38",CIMB,CIBBMYKL,35,,52ab9513-6232-4d05-a4b6-708ad06473f0,,,MY,{},,,
3,"March 2, 2023, 00:00","March 2, 2023, 00:00",AFFIN BANK,PHBMMYKL,32,673,52ab9513-6232-4d05-a4b6-708ad06473f0,,,MY,{},,,
5,"March 2, 2023, 16:30","March 2, 2023, 16:30",AGRO BANK,AGOBMYKL,43,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
6,"March 2, 2023, 16:32","March 2, 2023, 16:32",ALLIANCE BANK,MFBBMYKL,12,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
8,"March 2, 2023, 16:33","March 2, 2023, 16:33",AL RAJHI BANK,RJHIMYKL,50,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
11,"March 2, 2023, 16:41","March 2, 2023, 16:41",BANGKOK BANK,BKKBMYKL,4,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
42,"March 2, 2023, 17:15","November 12, 2025, 11:42",STANDARD CHARTERED SAADIQ,SCBLMYKX,14,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
12,"March 2, 2023, 16:42","March 2, 2023, 16:42",BANK ISLAM,BIMBMYKL,40,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
13,"March 2, 2023, 16:43","March 2, 2023, 16:43",BANK OF AMERICA MERRILL LYNCH,BOFAMY2X,7,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
15,"March 2, 2023, 16:45","March 2, 2023, 16:45",BANK OF TOKYO-MITSUBISHI UFJ(MALAYSIA) BERHAD,BOTKMY21,10,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
16,"March 2, 2023, 16:46","March 2, 2023, 16:46",BANK MUAMALAT,BMMBMYKL,41,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
17,"March 2, 2023, 16:47","March 2, 2023, 16:47",BANK RAKYAT,BKRMMYKL,99,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
18,"March 2, 2023, 16:47","March 2, 2023, 16:47",BNP PARIBAS,BNPAMYKL,63,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
19,"March 2, 2023, 16:51","March 2, 2023, 16:51",BANK SIMPANAN NASIONAL(BSN),BSNAMYK1,6,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
20,"March 2, 2023, 16:51","March 2, 2023, 16:51",CHINA CONSTRUCTION BANK (CCB),PCBCMYKL,46,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
23,"March 2, 2023, 16:56","March 2, 2023, 16:56",DEUTSCHE BANK,DEUTMYKL,19,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
24,"March 2, 2023, 16:57","March 2, 2023, 16:57",HONG LEONG BANK,HLBBMYKL,24,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
22,"March 2, 2023, 16:54","March 2, 2023, 16:58",CITIBANK,CITIMYKL,17,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
27,"March 2, 2023, 17:01","March 2, 2023, 17:01",INDUSTRIAL &amp; COMMERCIAL BANK OF CHINA (ICBC),ICBKMYKL,59,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
28,"March 2, 2023, 17:02","March 2, 2023, 17:02",J.P. MORGAN,CHASMYKX,15,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
29,"March 2, 2023, 17:03","March 2, 2023, 17:03",KUWAIT FINANCE HOUSE,KFHOMYKL,44,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
30,"March 2, 2023, 17:04","March 2, 2023, 17:04",MAYBANK,MBBEMYKL,27,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
32,"March 2, 2023, 17:06","March 2, 2023, 17:06",MBSB BANK,AFBQMYKL,52,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
33,"March 2, 2023, 17:07","March 2, 2023, 17:07",MIZUHO CORP BANK (MALAYSIA) BERHAD,MHCBMYKA,60,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
34,"March 2, 2023, 17:07","March 2, 2023, 17:07",OCBC BANK,OCBCMYKL,29,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
36,"March 2, 2023, 17:09","March 2, 2023, 17:09",PUBLIC BANK,PBBEMYKL,33,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
38,"March 2, 2023, 17:10","March 2, 2023, 17:10",RHB BANK,RHBBMYKL,18,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
40,"March 2, 2023, 17:13","March 2, 2023, 17:13",SUMITOMO MITSUI BANKING CORPORATION MALAYSIA BERHAD,SMBCMYKL,45,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
41,"March 2, 2023, 17:14","March 2, 2023, 17:14",STANDARD CHARTERED,SCBLMYKX,14,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
43,"March 2, 2023, 17:16","March 2, 2023, 17:16",UNITED OVERSEAS BANK (DIQUOB),UOVBMYKL,26,,,,,MY,{},,,
9,"March 2, 2023, 16:34","March 24, 2023, 22:07",AMBANK,ARBKMYKL,8,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
14,"March 2, 2023, 16:44","March 24, 2023, 22:29",BANK OF CHINA,BKCHMYKL,42,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
31,"March 2, 2023, 17:04","November 12, 2025, 11:41",MAYBANK ISLAMIC,MBBEMYKL,27,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
10,"March 2, 2023, 16:35","November 12, 2025, 11:41",AMBANK ISLAMIC BANK,ARBKMYKL,8,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
37,"March 2, 2023, 17:10","November 12, 2025, 11:42",PUBLIC ISLAMIC BANK,PBBEMYKL,33,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
35,"March 2, 2023, 17:08","November 12, 2025, 11:42",OCBC AL-AMIN,OCBCMYKL,29,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
39,"March 2, 2023, 17:11","November 12, 2025, 11:43",RHB ISLAMIC BANK,RHBBMYKL,18,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
7,"March 2, 2023, 16:32","November 12, 2025, 11:44",ALLIANCE ISLAMIC BANK,MFBBMYKL,12,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
4,"March 2, 2023, 16:29","November 12, 2025, 11:45",AFFIN ISLAMIC BANK,PHBMMYKL,32,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
21,"March 2, 2023, 16:53","November 12, 2025, 11:46",CIMB ISLAMIC,CIBBMYKL,35,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
26,"March 2, 2023, 17:00","November 14, 2025, 17:26",HSBC AMANAH,HBMBMYKL,56,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
714,"January 20, 2026, 13:59","January 20, 2026, 13:59",HDFC,HDFCINBB,,,e32f7f18-c8eb-4f86-ae01-cd22191e1396,,,MY,{},"January 20, 2026, 13:59",e32f7f18-c8eb-4f86-ae01-cd22191e1396,
716,"January 21, 2026, 11:31","February 13, 2026, 12:55",HSBC Malaysia,HBMBMYKL,,,e32f7f18-c8eb-4f86-ae01-cd22191e1396,,,MY,{},"January 21, 2026, 11:31",e32f7f18-c8eb-4f86-ae01-cd22191e1396,"February 13, 2026, 12:58"
165,"July 17, 2024, 10:10","July 17, 2024, 10:10","HSBC Bank, 2 Craven Road, London",HBUK GB4B,,,,,,MY,{},,,
385,"January 24, 2025, 13:08","January 24, 2025, 13:08","Bank Of India, Ghurdauri Pauri Branch",SBIN0014134,,,,,,MY,{},,,
415,"March 24, 2025, 16:48","March 24, 2025, 16:48","CHINA CONSTRUCTION BANK, NINGBO BRANCH JIANGBEI SUB-BRANCH",PCBCCNBJNPX,,,,,,MY,{},,,
437,"April 2, 2025, 11:07","June 6, 2025, 15:49",J.P. Morgan Chase Bank Berhad,CHASMYKX,15,,,,,MY,{},,,
712,"January 20, 2026, 08:53","January 20, 2026, 08:53",bunq,BUNQDE82,,,e32f7f18-c8eb-4f86-ae01-cd22191e1396,,,MY,{},"January 20, 2026, 08:53",e32f7f18-c8eb-4f86-ae01-cd22191e1396,
713,"January 20, 2026, 09:23","January 20, 2026, 09:23","BDO Unibank, Inc.",BNORPHMMXXX,,,e32f7f18-c8eb-4f86-ae01-cd22191e1396,,,MY,{},"January 20, 2026, 09:23",e32f7f18-c8eb-4f86-ae01-cd22191e1396,
25,"March 2, 2023, 16:57","November 12, 2025, 11:43",HONG LEONG ISLAMIC BANK,HLBBMYKL,24,,9c969809-e1ab-471a-a83f-82303f4177b0,,,MY,{},,,
719,"January 23, 2026, 01:37","January 23, 2026, 01:37","Kotak Mahindra Bank, Anna Salai Branch",KKBKINBB,,,e32f7f18-c8eb-4f86-ae01-cd22191e1396,,,MY,{},"January 23, 2026, 01:37",e32f7f18-c8eb-4f86-ae01-cd22191e1396,
718,"January 22, 2026, 14:51","January 22, 2026, 14:51",RHB ISLAMIC BANK BERHAD,RHBAMYKL,,,46257e94-6f02-4bcb-a64b-0f1ec9c8203a,,,MY,{},"January 22, 2026, 14:51",46257e94-6f02-4bcb-a64b-0f1ec9c8203a,"January 26, 2026, 13:31"
721,"January 26, 2026, 10:36","January 26, 2026, 10:36",HSBC Bank Malaysia Berhad,HBMBMYKL,,,46257e94-6f02-4bcb-a64b-0f1ec9c8203a,,,MY,{},"January 26, 2026, 10:36",46257e94-6f02-4bcb-a64b-0f1ec9c8203a,"February 13, 2026, 12:52"
711,"January 19, 2026, 09:47","January 19, 2026, 09:47","United Overseas Bank (Malaysia) Bhd, Puchong Branch",UOVBMYKL,,,130eb67f-b1e1-41a6-8f84-d2e5b9492f91,,"Puchong Branch 6, Jalan Kenari 5, Bandar Puchong Jaya",MY,{},"January 19, 2026, 09:47",130eb67f-b1e1-41a6-8f84-d2e5b9492f91,"February 13, 2026, 12:53"
715,"January 21, 2026, 10:30","February 19, 2026, 17:14",Touch and Go Digital,TNGDMYNB,0,,,,,MY,{},,,
704,"December 24, 2025, 14:54","February 19, 2026, 17:15",GX BANK BERHAD,GXSPMYKL,1,,,,,MY,"{""code"": ""GXSPMYKL"", ""country"": ""MY"", ""bank_name"": ""GX BANK BERHAD"", ""bank_address"": ""Menara GX, KL Eco City, Jalan Bangsar, 59200 Kuala Lumpur, Malaysia""}",,,
